typeURI;assetId.identificator;assetId.toegekendDoor;geometry;isActief;toestand
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Slagboomarm;14c0cd27-5aa7-4381-8297-c832cb81ce6a-b25kZXJkZWVsI1NsYWdib29tYXJt;AWV;LINESTRING Z (153146.065 206529.519 0,153155.379 206528.642 0);True;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Slagboomarm;feae1d28-1c75-4a95-ac08-2fefcb777bcb-b25kZXJkZWVsI1NsYWdib29tYXJt;AWV;LINESTRING Z (153136.352 206530.434 0,153145.666 206529.557 0);True;in-gebruik
